t,bgx,bgy,bgz
79.15,3.0446177192724526e-05,-4.483896368697038e-05,5.1592237310258314e-05
79.16,3.587543059971846e-05,-4.219994705950214e-05,4.995886757306631e-05
79.17,3.952247705201839e-05,-4.176279201569507e-05,4.483908262143773e-05
79.18,3.527937024362743e-05,-3.25868318002415e-05,4.892987685315174e-05
79.19,3.3685217620590216e-05,-3.220970060005532e-05,4.075697971004045e-05
79.2,3.822009313538478e-05,-3.402030787634646e-05,4.05024950283881e-05
79.21000000000001,3.660757877567566e-05,-2.751515179519875e-05,4.549452018564545e-05
79.22,3.937590025415334e-05,-1.7116922969108724e-05,5.1329528845230766e-05
79.23,4.3001089937084456e-05,-1.8584692108099696e-05,5.319441334639564e-05
79.24,4.878902779144316e-05,-2.4414063938680428e-05,6.378918834302027e-05
79.25,5.0607135395295214e-05,-2.4962116594833556e-05,6.688750552311821e-05
79.26,4.8043123446326885e-05,-2.069890312469539e-05,6.734401653094381e-05
79.27,5.554788602793108e-05,-1.9084769384969765e-05,6.910890731741875e-05
79.28,5.251594752492783e-05,-1.5732407271608854e-05,6.692908757176872e-05
79.29,4.994001704198994e-05,-1.677174452471577e-05,6.825949241795709e-05
79.3,5.0002630973135137e-05,-2.4360743264980186e-05,6.477374616724421e-05
79.31,4.6131163309498455e-05,-2.6220359065039284e-05,6.961422276364991e-05
79.32000000000001,4.490632933371776e-05,-2.5882979823876617e-05,6.262340374085535e-05
79.33,5.068237096208524e-05,-2.4236476950866066e-05,6.747730697514605e-05
79.34,5.423696356889962e-05,-2.697102213873503e-05,6.88042887649317e-05
79.35000000000001,5.1650287141998054e-05,-2.8814339479168957e-05,6.924883146753481e-05
79.36,5.039099201424821e-05,-3.2394454181517376e-05,6.57569078299085e-05
79.37,4.739125291710858e-05,-2.8521910279270116e-05,6.490924802492973e-05
79.38,4.48473207884449e-05,-2.4236469623284843e-05,6.625226465510582e-05
79.39,4.800127043920917e-05,-2.347440095796102e-05,6.540151186519862e-05
79.4,4.720183633904274e-05,-2.5776627775441916e-05,6.324484092395416e-05
79.41,4.334785670655903e-05,-2.4567865697033146e-05,6.722071045870171e-05
79.42,4.3014555042216166e-05,-2.161834412322981e-05,6.330437357675758e-05
79.43,4.443164144740352e-05,-2.436923681044591e-05,6.378325749344997e-05
79.44,4.015788204533914e-05,-3.191079716298994e-05,6.99411488670738e-05
79.45,4.290403559567722e-05,-4.071649857630225e-05,7.212690001765998e-05
79.46000000000001,4.301058186703295e-05,-3.2421224843054e-05,7.473608017730586e-05
79.47,3.6560311807912954e-05,-3.16080509476214e-05,7.383235483870042e-05
79.48,4.632215621702565e-05,-2.861457078524956e-05,7.905334664214269e-05
79.49,4.7718590114641566e-05,-2.738808872296131e-05,7.724851101821794e-05
79.5,5.391414885513767e-05,-2.9665878656450717e-05,7.283248427959796e-05
79.51,5.526317870457659e-05,-3.542606007470685e-05,7.325187511715776e-05
79.52,5.6166708537144616e-05,-4.0713198451295505e-05,7.672818445945283e-05
